Nro,He,He_Ho,C_Co,C,Q,H,ha,V
1,0.4,0.149,0.835,1.742,8.815,0.396,0.004,0.277
2,0.5,0.187,0.846,1.764,12.476,0.493,0.007,0.368
3,0.6,0.224,0.856,1.785,16.595,0.589,0.011,0.464
4,0.7,0.261,0.865,1.805,21.145,0.684,0.016,0.561
5,0.8,0.299,0.874,1.824,26.104,0.778,0.022,0.661
6,0.9,0.336,0.883,1.842,31.457,0.871,0.029,0.76
7,1,0.373,0.891,1.859,37.187,0.962,0.038,0.86
8,1.1,0.41,0.899,1.876,43.283,1.053,0.047,0.961
9,1.2,0.448,0.907,1.892,49.735,1.143,0.057,1.061
10,1.3,0.485,0.914,1.907,56.534,1.231,0.069,1.163
11,1.4,0.522,0.921,1.922,63.672,1.319,0.081,1.264
12,1.5,0.56,0.928,1.936,71.144,1.405,0.095,1.366
13,1.6,0.597,0.935,1.95,78.945,1.49,0.11,1.467
14,1.7,0.634,0.941,1.964,87.068,1.575,0.125,1.569
15,1.8,0.672,0.948,1.977,95.509,1.658,0.142,1.671
16,1.9,0.709,0.954,1.991,104.264,1.74,0.16,1.773
17,2,0.746,0.96,2.003,113.327,1.821,0.179,1.876
18,2.1,0.784,0.966,2.016,122.694,1.9,0.2,1.979
19,2.2,0.821,0.972,2.028,132.359,1.979,0.221,2.082
20,2.3,0.858,0.978,2.04,142.317,2.057,0.243,2.185
21,2.4,0.896,0.983,2.052,152.566,2.133,0.267,2.289
22,2.5,0.933,0.989,2.063,163.1,2.208,0.292,2.393
23,2.6,0.97,0.994,2.074,173.919,2.282,0.318,2.497
24,2.68,1,0.998,2.083,182.776,2.339,0.341,2.585
25,2.78,1.037,1.004,2.094,194.101,2.426,0.354,2.635
26,2.88,1.075,1.009,2.104,205.704,2.496,0.384,2.744
27,2.98,1.112,1.014,2.115,217.586,2.565,0.415,2.854
