Nro,Q,P_Ho,Ho,Ca,,Nro,Q,P_Ho,Ho,Ca
1,11.59,4,0.3,128,,15,94.2,0.706,1.7,129.4
2,11.04,3,0.4,128.1,,16,102.45,0.667,1.8,129.5
3,15.4,2.4,0.5,128.2,,17,110.91,0.632,1.9,129.6
4,20.19,2,0.6,128.3,,18,119.57,0.6,2,129.7
5,25.39,1.714,0.7,128.4,,19,128.41,0.571,2.1,129.8
6,30.96,1.5,0.8,128.5,,20,137.43,0.545,2.2,129.9
7,36.87,1.333,0.9,128.6,,21,146.63,0.522,2.3,130
8,43.09,1.2,1,128.7,,22,155.99,0.5,2.4,130.1
9,49.6,1.091,1.1,128.8,,23,165.52,0.48,2.5,130.2
10,56.39,1,1.2,128.9,,24,175.21,0.462,2.6,130.3
11,63.45,0.923,1.3,129,,25,185.04,0.444,2.7,130.4
12,70.78,0.857,1.4,129.1,,26,195.03,0.429,2.8,130.5
13,78.35,0.8,1.5,129.2,,27,205.16,0.414,2.9,130.6
14,86.16,0.75,1.6,129.3,,28,215.43,0.4,3,130.7
