Nro,Ano,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total_PH,Total_PS,Total
1,1990,357.7,503.4,454.1,671.2,101,123.6,45.1,40.6,9.6,33,11.6,171.5,2258.9,263.5,2522.4
2,1991,323.3,759.6,565,681.6,421.1,40.3,50.4,15.2,29.7,26.3,83.2,246.9,2997.5,245.1,3242.6
3,1992,381.2,511.9,712.3,713.5,674.1,271.6,58.5,27,18,60.6,20.1,76.8,3069.8,455.8,3525.6
4,1993,596,704,666.9,1101.7,176.1,80.9,112.2,16.1,65.4,12.4,44.8,178.2,3422.9,331.8,3754.7
5,1994,511.6,622.4,714.6,626.3,376.8,112.9,2.5,3.6,25.3,39.1,51.4,223.4,3075.1,234.8,3309.9
6,1995,558.1,565,355.4,574,248.5,103.3,48.7,58.7,9.6,99.7,14.4,251.8,2552.8,334.4,2887.2
7,1996,323.6,543.8,723.9,283.8,201.6,75.4,23.6,27.4,12.3,19.8,9.6,34.9,2111.6,168.1,2279.7
8,1997,425.3,566.5,569.2,777.4,556.9,713,413.7,518.5,849.6,757.2,509.7,530.6,3425.9,3761.7,7187.6
9,1998,750,462.1,966.7,973.6,912.8,500.2,417.6,56.5,82.6,13.9,32.1,46.7,4111.9,1102.9,5214.8
10,1999,276.3,609.2,580.7,911.7,437,123.1,36.2,22,124.8,65.2,45,122.9,2937.8,416.3,3354.1
11,2000,156.7,430.3,466.2,603.6,269.9,105.3,7.8,18.5,64.4,79.1,6.2,74.3,2001,281.3,2282.3
12,2001,449.1,376.9,717.3,808,198.4,11.6,31.1,0.9,33.9,4.8,7.5,82.5,2632.2,89.8,2722
13,2002,340.5,606.2,629,682.4,526.6,257.3,15.8,8.2,108,86.1,47.1,496.1,3280.8,522.5,3803.3
14,2003,660.3,539.9,498,660.1,327.9,85.5,58,35.8,3,130.6,21.7,287.8,2974,334.6,3308.6
15,2004,287.9,630.1,433.9,287.9,367,71,15.5,6,81.7,99,48.7,33.9,2040.7,321.9,2362.6
16,2005,177.1,332.2,796.7,778.7,26.8,4,2.1,4.3,24.3,33.4,22.3,167.7,2279.2,90.4,2369.6
17,2006,262.2,482.7,676,466,192,88.7,18.4,97,48.9,25.1,374.9,53.2,2132.1,653,2785.1
18,2007,563.2,633.8,774,620.3,665.9,238,90.3,19.6,33.6,17.2,32.4,95.3,3352.5,431.1,3783.6
19,2008,825.7,639.7,503.2,478.9,161.4,89.5,118.4,71.8,152,55.4,25.8,76.5,2685.4,512.9,3198.3
20,2009,573.5,298.7,442.3,453.5,257.4,9,39.2,21.7,6.8,8.1,7.7,470.6,2496,92.5,2588.5
21,2010,365.7,605.7,661.6,687.9,449.9,60.4,87.7,72.2,45.2,13.2,99.4,405.4,3176.2,378.1,3554.3
22,2011,789,218.6,446.9,423.6,91.6,119.2,113.7,20.4,65,48.3,3.6,117.4,2087.1,370.2,2457.3
23,2012,688.8,706,989.9,573.5,694.3,221.4,14.5,6,4.9,73.7,42.9,28.8,3681.3,363.4,4044.7
Med,Med,462.73,536.9,623.64,645.18,362.39,152.4,79.17,50.78,82.55,78.31,67.92,185.79,2816.64,511.13,3327.77
Máx,Máx,825.7,759.6,989.9,1101.7,912.8,713,417.6,518.5,849.6,757.2,509.7,530.6,4111.9,3761.7,7187.6
Min,Min,156.7,218.6,355.4,283.8,26.8,4,2.1,0.9,3,4.8,3.6,28.8,2001,89.8,2279.7
