Nro,Ano,P,,Nro,Ano,P
1,1965,4427.7,,27,1993,3804.7
2,1966,3207.7,,28,1994,3310
3,1967,2306.5,,29,1995,2887.2
4,1968,2265.1,,30,1996,2279.7
5,1969,3917.4,,31,1997,7187.6
6,1970,4836.04,,32,1998,5214.8
7,1973,4083.8,,33,1999,3354.1
8,1974,2266,,34,2000,2282.3
9,1975,3422.1,,35,2001,2722
10,1976,3834.4,,36,2002,3803.3
11,1977,3093.3,,37,2003,3308.6
12,1978,2456.7,,38,2004,2362.6
13,1979,2316.5,,39,2005,2369.6
14,1980,2331.2,,40,2006,2785.1
15,1981,2373.7,,41,2007,3783.6
16,1982,4154.4,,42,2008,3196.3
17,1983,6188.4,,43,2009,2588.5
18,1984,3014,,44,2010,3554.3
19,1985,2163.84,,45,2011,2457.3
20,1986,3153.2,,46,2012,4044.7
21,1987,4311,,47,2013,2770.6
22,1988,2924.11,,48,2014,2965.5
23,1989,2952.2,,49,2015,4267.3
24,1990,2521.8,,50,2016,2872.6
25,1991,3242.6,,51,2017,3065.5
26,1992,3525.6,,52,2018,2844.9
,,,,53,2019,3579.1
