,ID,Cuenca,Subcuencas,Nombre,Area_km2,Perim_km,Lc,B,Cmax_c,Cmin_c,H,Alt_med_c,Pend_med_c,Rf,Kc,Cc,Lcp_km,Cmax_cp,Cmin_cp,dh,Ltd_km,D,Nc,Frecd,Smcp,Smpcp,tc_min,tlag_min,CN
1,1,Cucaracha,Cucaracha,CU1,16.8214,38.544,9.28,0.44,329,240,89,278.2,5.96,0.2,2.65,0.14,12.7635,309,240,69,28.8944,0.58,39,0.43,0.0054,0.00417,233.73,140.24,56.37
2,2,Cucaracha,Cucaracha,CU2,11.0848,29.3367,3.85,0.38,269,187,82,231.19,6.38,0.75,2.49,0.16,6.2184,236,188,48,19.2131,0.58,26,0.43,0.0077,0.00816,103.75,62.25,47.68
3,3,Cucaracha,Cucaracha,CU3,6.4969,30.7931,5.85,0.21,240,157.66,82.34,200.48,11.31,0.19,3.41,0.09,7.7935,205,157.66,47.34,15.5305,0.42,13,0.5,0.0061,0.00554,143.3,85.98,58.66
4,4,Cucaracha,Cucaracha,CU4,3.585,16.9926,3.27,0.21,232.95,157.86,75.09,198.09,13.29,0.34,2.53,0.16,4.0342,194.6742,157.6594,37.01,8.5946,0.42,9,0.4,0.0092,0.01221,63.67,38.2,50.88
5,5,Cucaracha,Cucaracha,CU5,11.2024,31.4255,7.763,0.36,232,144.1,87.9,188.06,11,0.19,2.65,0.14,11.3767,201,144.0432,56.96,23,0.49,21,0.53,0.005,0.00409,215.52,129.31,53.6
6,6,Cucaracha,Cucaracha,CU6,5.5215,20.809,4.85,0.27,217.86,144.13,73.73,176.64,10.64,0.23,2.5,0.16,6.786,177.0532,144.0432,33.01,11.9275,0.46,13,0.42,0.0049,0.00374,149.85,89.91,52.47
7,7,Cucaracha,Cucaracha,CU7,14.3332,37.2419,10.108,0.38,238.58,127.95,110.63,173.39,14.03,0.14,2.78,0.13,14.216,172.15,127.95,44.2,32.243,0.44,29,0.49,0.0031,0.00325,279.53,167.72,43.75
8,8,Cucaracha,Cucaracha,CU8,11.7249,28.2098,6.268,0.42,209.48,127.95,81.53,166.94,11.85,0.3,2.32,0.19,8.4446,165.469,127.95,37.52,26.0693,0.45,29,0.4,0.0044,0.00423,169.12,101.47,58.25
9,9,Cucaracha,Cucaracha,CU9,8.0308,22.4573,5.25,0.36,203.12,130.04,73.08,162.87,13.95,0.29,2.24,0.2,7.3846,154.78,130.94,23.84,15.045,0.53,23,0.35,0.0032,0.00306,172.77,103.66,55.69
10,10,Cucaracha,Cucaracha,CU10,5.6471,21.8572,5.84,0.26,203.05,130.94,72.11,167.41,10.44,0.17,2.59,0.15,7.4268,165.34,130.94,34.4,13.48,0.42,9,0.63,0.0046,0.0058,135.66,81.4,55.08
11,11,Cucaracha,Cucaracha,CU11,7.1271,20.9615,3.83,0.34,198.1,119.72,78.38,149.22,13.84,0.49,2.21,0.2,6.3195,142.3551,119.72,22.64,16.7046,0.43,15,0.48,0.0036,0.00221,173.7,104.22,59.1
12,12,Cucaracha,Cucaracha,CU12,2.3958,15.0809,3.47,0.16,194.76,119.72,75.04,151.45,10.5,0.2,2.75,0.13,4.3789,149.696,119.72,29.98,5.0701,0.47,5,0.48,0.0068,0.0059,89.73,53.84,57.15
13,13,Cucaracha,Cucaracha,CU13,0.5571,5.3444,1.3,0.1,185.23,117.77,67.46,138.32,14.95,0.33,2.02,0.25,4.8797,119.72,117.77,1.95,7.8797,0.07,1,0.56,4.00E-04,0.0015,165.25,99.15,51.06
14,14,Cucaracha,Cucaracha,CU14,10.7378,39.3695,9.93,0.27,237.98,142.91,95.07,190.4,10.05,0.11,3.39,0.09,13.382,205.42,142.91,62.51,23.099,0.46,23,0.47,0.0047,0.00395,247.51,148.51,55.11
15,15,Cucaracha,Cucaracha,CU15,6.6908,23.953,4.71,0.28,220.27,142.91,77.36,182.51,10.23,0.3,2.61,0.15,6.0104,174.76,142.91,31.85,17.101,0.39,17,0.39,0.0053,0.00673,108.85,65.31,61.06
16,16,Cucaracha,Cucaracha,CU16,5.3796,26.8816,5.88,0.2,203.82,117.7,86.12,150.6,9.99,0.16,3.27,0.09,10.7986,142.9086,117.77,25.14,11.7458,0.46,11,0.49,0.0023,0.00255,248.34,149,58.29
